Banco,Tasa,CAE,Div_SSEG,SEG_INCSIS,SEG_DESG,PRIM_DIV,COSTO_TOTCRED,TOT_DIVUF,TOT_DIV$,Plazo,TOT_Seg,Dividendo_CSEG,ValorProp,MontoCre,Fecha,Producto,PlazoFijo
SANT1.3-1.7,"3,88","4,33","9,83","0,29","0,16",,,"10,28",,"25,00","0,45","10,28","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,88","4,33","16,38","0,48","0,26",,,"17,13",,"25,00","0,75","17,13","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,88","4,33","38,23","1,13","0,62",,,"39,98",,"25,00","1,74","39,98","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,99","4,42","9,03","0,29","0,16",,,"9,48",,"30,00","0,45","9,48","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,99","4,42","15,05","0,48","0,26",,,"15,80",,"30,00","0,75","15,80","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.3-1.7,"3,99","4,42","35,12","1,13","0,62",,,"36,87",,"30,00","1,74","36,87","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,61","3,17","32,48","0,29","0,16",,,"32,93",,"5,00","0,45","32,93","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,61","3,17","54,14","0,48","0,26",,,"54,88",,"5,00","0,75","54,88","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,61","3,17","126,32","1,13","0,62",,,"128,06",,"5,00","1,74","128,06","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,61","3,16","21,24","0,29","0,16",,,"21,69",,"8,00","0,45","21,69","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,61","3,16","35,41","0,48","0,26",,,"36,16",,"8,00","0,75","36,16","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,61","3,16","82,62","1,13","0,62",,,"84,36",,"8,00","1,74","84,36","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,95","3,49","17,79","0,29","0,16",,,"18,24",,"10,00","0,45","18,24","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,95","3,49","29,65","0,48","0,26",,,"30,39",,"10,00","0,75","30,39","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,95","3,49","69,18","1,13","0,62",,,"70,92",,"10,00","1,74","70,92","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,95","3,48","15,31","0,29","0,16",,,"15,76",,"12,00","0,45","15,76","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,95","3,48","25,51","0,48","0,26",,,"26,26",,"12,00","0,75","26,26","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"2,95","3,48","59,53","1,13","0,62",,,"61,27",,"12,00","1,74","61,27","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,18","3,69","13,04","0,29","0,16",,,"13,48",,"15,00","0,45","13,48","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,18","3,69","21,73","0,48","0,26",,,"22,47",,"15,00","0,75","22,47","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,18","3,69","50,69","1,13","0,62",,,"52,44",,"15,00","1,74","52,44","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,43","3,91","10,82","0,29","0,16",,,"11,27",,"20,00","0,45","11,27","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,43","3,91","18,04","0,48","0,26",,,"18,79",,"20,00","0,75","18,79","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,43","3,91","42,09","1,13","0,62",,,"43,84",,"20,00","1,74","43,84","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,58","4,04","9,54","0,29","0,16",,,"9,99",,"25,00","0,45","9,99","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,58","4,04","15,90","0,48","0,26",,,"16,64",,"25,00","0,75","16,64","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,58","4,04","37,09","1,13","0,62",,,"38,83",,"25,00","1,74","38,83","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,69","4,12","8,72","0,29","0,16",,,"9,17",,"30,00","0,45","9,17","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT1.7-2.5,"3,69","4,12","14,54","0,48","0,26",,,"15,29",,"30,00","0,75","15,29","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
